N,P,K,temperature,humidity,ph,rainfall,label
24.7,65.6,24.0,19.82,55.8,7.05,54.01,Lentil
27.7,84.1,19.6,28.67,38.3,7.14,149.32,Pigeonpeas
19.5,22.2,40.4,34.13,79.8,6.4,206.47,Coconut
64.5,58.5,64.6,34.08,89.75,6.68,126.85,Papaya
13.0,64.0,18.0,19.06,37.36,7.15,52.88,Lentil
18.2,45.3,76.2,27.61,69.83,6.89,92.1,Groundnut
79.7,59.6,52.9,35.29,82.27,6.98,241.6,Jute
24.0,10.0,19.4,34.82,83.63,7.95,97.71,Orange
25.0,14.2,9.9,34.66,94.08,7.49,119.47,Orange
84.7,69.8,62.1,27.53,76.37,5.62,115.24,Banana
63.5,62.5,47.4,28.0,89.02,6.5,133.44,Papaya
47.6,65.9,50.7,27.62,82.43,7.22,168.52,Papaya
17.7,44.4,69.4,28.68,55.82,6.61,93.02,Groundnut
75.1,45.7,46.1,25.69,84.6,5.88,183.06,Jute
33.9,125.0,191.7,19.89,88.31,6.24,152.46,Apple
120.5,68.4,58.0,29.26,71.01,6.01,112.45,Banana
40.8,75.2,92.6,21.33,28.78,7.49,67.37,Chickpea
23.3,60.9,29.5,33.62,81.28,7.26,47.84,Mungbean
82.6,69.2,63.9,32.91,73.4,6.1,123.98,Banana
41.1,67.5,17.7,34.82,63.29,7.94,66.64,Blackgram
28.1,125.7,211.1,22.81,81.12,6.32,120.57,Apple
30.1,84.2,21.8,25.43,56.28,6.48,152.71,Pigeonpeas
20.4,52.0,21.6,26.33,91.72,6.97,41.54,Mungbean
99.2,24.5,44.5,16.29,64.46,6.8,162.52,Coffee
17.1,62.5,18.8,27.44,94.37,7.4,55.68,Mungbean
98.5,41.9,47.1,26.53,93.24,6.36,176.11,Jute
13.2,78.3,26.0,22.81,42.26,7.5,42.55,Lentil
19.4,41.6,46.6,28.08,66.64,5.86,61.93,Mango
27.2,63.4,29.4,29.39,38.89,7.8,59.16,Lentil
126.0,69.9,33.7,17.21,52.46,6.95,111.08,Wheat
83.8,43.7,39.6,25.66,89.06,6.18,262.49,Rice
19.5,13.4,44.7,34.34,88.0,5.99,30.69,Pomegranate
25.7,21.7,36.2,34.96,70.93,5.11,222.41,Coconut
95.7,32.5,25.4,22.58,74.91,5.57,133.63,Coffee
90.2,45.3,50.7,30.27,79.26,6.33,175.38,Jute
19.7,14.6,52.6,24.87,94.7,5.66,67.1,Pomegranate
18.6,144.3,193.3,15.02,92.59,5.74,121.22,Apple
48.5,68.1,73.6,23.96,16.44,7.87,88.34,Chickpea
131.8,60.8,27.9,35.0,58.87,6.98,57.01,Cotton
16.4,78.7,19.9,24.72,35.98,6.43,45.09,Lentil
27.1,71.1,31.5,29.63,63.52,6.7,127.22,Pigeonpeas
99.6,44.2,47.4,24.88,89.8,6.92,204.93,Rice
114.5,65.5,65.1,32.06,93.17,6.16,112.0,Banana
27.6,24.2,27.3,30.35,94.02,5.16,179.75,Coconut
37.4,71.1,73.2,29.72,42.45,7.01,73.79,Chickpea
64.3,50.3,38.8,36.09,79.82,6.19,228.14,Jute
129.0,18.6,43.7,26.92,64.52,6.34,195.89,Coffee
34.9,56.3,26.3,33.43,49.56,6.91,167.52,Pigeonpeas
61.4,78.5,60.6,28.8,89.8,6.79,136.05,Papaya
105.8,65.5,28.0,30.8,49.11,7.97,62.2,Cotton
84.8,51.8,55.0,27.35,92.71,7.0,145.75,Banana
31.4,55.3,20.2,20.59,30.88,6.8,165.74,Pigeonpeas
70.5,42.8,36.2,29.96,62.14,7.33,89.47,Maize
28.9,126.1,219.4,17.86,80.76,5.81,63.96,Grapes
27.7,144.2,192.7,31.84,79.64,6.0,84.34,Grapes
15.5,60.2,15.5,28.22,91.36,7.21,47.58,Mungbean
27.2,18.8,39.9,32.87,74.44,5.91,195.27,Coconut
121.8,40.1,24.5,23.17,82.79,6.95,160.13,Sugarcane
19.1,47.9,21.1,25.99,47.27,3.96,54.02,Mothbeans
16.7,43.9,16.1,29.15,86.52,7.05,34.99,Mungbean
32.9,138.1,195.3,16.49,88.99,6.52,109.01,Apple
92.8,26.9,49.7,25.85,81.61,5.7,167.47,Sugarcane
51.6,73.0,58.6,36.16,94.07,6.7,154.36,Papaya
88.2,44.5,33.7,29.2,74.89,6.05,67.31,Maize
73.1,57.8,42.6,26.02,91.64,5.88,189.83,Rice
98.9,49.9,37.4,29.09,67.98,7.1,103.62,Maize
92.9,19.0,29.6,19.12,63.74,5.9,171.57,Coffee
19.5,16.5,50.8,21.92,85.62,5.66,58.97,Pomegranate
77.9,56.1,27.0,24.77,56.54,6.6,90.33,Maize
49.6,64.7,20.3,32.5,73.94,7.73,56.06,Blackgram
28.4,15.7,49.3,32.56,81.64,5.26,225.67,Coconut
109.3,47.5,43.2,33.0,91.52,7.42,187.36,Sugarcane
95.1,58.4,41.0,20.18,79.16,6.37,114.64,Maize
95.8,19.2,41.2,19.39,73.94,6.36,187.91,Coffee
109.4,17.5,36.4,25.87,74.74,6.29,176.11,Coffee
119.1,58.6,59.8,26.3,91.41,6.4,149.66,Banana
26.8,139.0,196.9,10.12,80.58,6.99,155.75,Apple
34.7,53.8,24.6,26.45,84.02,6.56,37.64,Mungbean
52.6,83.8,78.1,16.67,35.36,7.82,85.01,Chickpea
60.9,72.6,60.5,31.29,92.07,6.73,144.72,Papaya
22.9,59.5,34.9,32.24,53.41,7.42,139.24,Pigeonpeas
91.2,43.2,36.1,16.41,69.07,6.86,106.51,Wheat
113.8,31.5,45.2,29.26,94.69,5.61,214.34,Sugarcane
40.2,70.7,24.7,27.84,66.3,7.09,66.45,Blackgram
32.7,75.8,20.5,18.41,49.71,5.63,161.51,Pigeonpeas
26.9,107.6,209.1,15.2,79.27,6.18,75.01,Grapes
26.0,19.8,8.9,22.16,85.46,6.03,104.11,Orange
30.0,19.1,32.9,25.32,80.35,5.99,150.89,Coconut
82.1,35.3,40.0,32.07,89.52,6.81,233.0,Jute
120.6,17.1,30.2,17.02,74.64,6.83,144.75,Coffee
95.2,28.4,34.7,31.05,72.46,7.24,163.44,Sugarcane
9.1,8.0,40.3,29.81,87.07,6.08,33.72,Pomegranate
99.9,25.1,25.8,24.56,66.41,5.97,168.92,Coffee
123.5,57.0,25.0,13.7,65.83,6.05,102.23,Wheat
90.5,52.4,37.0,25.74,81.93,5.85,235.91,Jute
110.7,73.1,58.0,30.66,85.67,6.28,105.5,Banana
11.0,8.8,45.8,29.87,81.16,5.8,59.23,Pomegranate
18.7,45.3,27.0,27.32,84.15,7.26,46.51,Mungbean
93.9,53.1,51.1,25.84,85.72,6.96,225.42,Rice
