temperature,humidity,moisture,soil_type,crop_type,nitrogen,phosphorous,potassium,fertilizer
17.2,44.0,89.0,Black,Mothbeans,24.2,24.2,91.0,DAP (Diammonium Phosphate)
14.8,81.6,82.5,Red,Mango,48.1,114.7,190.1,No Fertilizer Needed
24.5,24.3,75.6,Clayey,Grapes,72.5,145.6,168.1,No Fertilizer Needed
17.3,22.8,74.8,Red,Wheat,101.1,27.9,165.2,SSP (Single Super Phosphate)
17.7,70.9,76.0,Loamy,Chickpea,32.7,141.2,170.7,Urea
22.7,30.1,76.7,Sandy,Mango,59.6,112.1,212.3,No Fertilizer Needed
34.5,42.3,36.8,Clayey,Jute,79.0,147.4,50.7,Balanced NPK 10-10-10
34.9,91.2,35.6,Sandy,Sugarcane,60.1,70.4,64.6,Balanced NPK 10-10-10
32.5,22.2,58.2,Black,Banana,88.3,149.3,82.7,No Fertilizer Needed
30.8,89.4,61.3,Clayey,Coffee,24.0,136.0,84.5,Urea
30.7,86.4,85.5,Red,Mango,97.4,137.5,218.8,No Fertilizer Needed
34.7,97.6,46.0,Sandy,Groundnut,108.6,52.9,52.4,No Fertilizer Needed
30.9,98.5,39.3,Black,Papaya,149.0,30.0,20.7,SSP (Single Super Phosphate)
23.1,82.5,66.4,Loamy,Grapes,40.2,90.8,25.5,MOP (Muriate of Potash)
19.2,46.3,17.9,Black,Coffee,112.6,79.4,201.5,No Fertilizer Needed
34.6,80.2,84.9,Black,Wheat,133.2,142.6,143.3,No Fertilizer Needed
35.8,39.2,78.5,Clayey,Banana,98.4,67.3,209.4,Balanced NPK 10-10-10
40.4,95.1,43.6,Sandy,Lentil,58.8,22.6,17.9,SSP (Single Super Phosphate)
15.3,37.8,45.2,Red,Maize,34.9,80.6,148.3,Urea
26.7,49.3,26.8,Clayey,Orange,73.3,69.2,114.3,Balanced NPK 10-10-10
22.6,27.4,41.8,Loamy,Mango,128.5,139.6,29.0,MOP (Muriate of Potash)
30.8,71.1,51.8,Red,Chickpea,0.7,90.5,57.6,Urea
19.6,45.3,79.6,Loamy,Mothbeans,102.9,82.6,74.3,No Fertilizer Needed
13.1,49.5,73.2,Clayey,Coffee,81.9,96.9,5.4,MOP (Muriate of Potash)
34.8,37.4,51.3,Red,Pomegranate,136.4,52.0,116.8,No Fertilizer Needed
16.9,42.3,85.3,Red,Pigeonpeas,121.2,60.5,143.8,No Fertilizer Needed
38.1,84.2,77.8,Sandy,Orange,60.8,11.3,112.0,SSP (Single Super Phosphate)
38.1,87.5,53.3,Black,Apple,45.5,131.0,96.5,No Fertilizer Needed
28.9,84.2,34.9,Loamy,Coconut,64.3,75.0,107.2,Balanced NPK 10-10-10
27.6,56.2,41.7,Loamy,Mungbean,51.9,8.3,130.8,SSP (Single Super Phosphate)
34.6,23.5,41.8,Loamy,Orange,12.4,141.7,8.2,MOP (Muriate of Potash)
34.9,36.4,78.3,Clayey,Wheat,130.2,71.4,93.1,No Fertilizer Needed
33.0,64.6,78.9,Red,Papaya,108.4,127.5,142.8,No Fertilizer Needed
28.2,48.2,76.3,Clayey,Grapes,78.1,72.9,119.0,Balanced NPK 10-10-10
31.1,20.7,71.7,Red,Mothbeans,14.1,58.4,170.7,Urea
29.6,96.1,55.6,Black,Maize,119.6,114.8,160.6,No Fertilizer Needed
35.3,63.9,72.8,Red,Lentil,27.3,43.0,3.3,MOP (Muriate of Potash)
42.9,86.8,86.4,Sandy,Coffee,86.6,34.9,82.5,SSP (Single Super Phosphate)
12.6,35.2,58.3,Black,Jute,123.0,113.0,134.7,No Fertilizer Needed
41.6,46.0,42.5,Sandy,Chickpea,13.3,120.1,144.2,Urea
26.2,26.1,15.7,Loamy,Maize,73.1,63.9,0.6,MOP (Muriate of Potash)
33.0,50.9,35.1,Black,Pomegranate,59.9,85.6,158.4,No Fertilizer Needed
42.0,84.8,16.2,Loamy,Mothbeans,80.3,140.7,199.9,No Fertilizer Needed
38.2,73.2,15.5,Loamy,Mango,22.5,2.7,139.9,DAP (Diammonium Phosphate)
31.0,24.5,28.1,Sandy,Orange,111.7,70.8,171.5,No Fertilizer Needed
23.7,50.5,49.5,Loamy,Coffee,57.1,10.3,65.4,SSP (Single Super Phosphate)
27.4,33.5,26.1,Red,Apple,148.9,61.6,59.7,No Fertilizer Needed
23.4,67.9,32.4,Sandy,Groundnut,99.2,25.2,205.7,SSP (Single Super Phosphate)
41.3,93.5,21.2,Sandy,Cotton,51.4,10.7,216.8,SSP (Single Super Phosphate)
12.7,67.9,66.5,Red,Wheat,106.2,126.3,131.6,No Fertilizer Needed
23.8,46.5,23.7,Loamy,Chickpea,18.8,64.6,92.4,Urea
28.0,68.5,86.3,Loamy,Chickpea,149.1,13.0,199.1,SSP (Single Super Phosphate)
17.8,38.1,76.2,Loamy,Apple,45.0,75.2,179.1,Balanced NPK 10-10-10
18.2,60.7,86.9,Loamy,Wheat,136.5,100.4,145.8,No Fertilizer Needed
11.0,40.0,35.1,Clayey,Pigeonpeas,31.1,138.5,57.6,Urea
38.3,44.8,75.9,Sandy,Jute,83.0,78.2,160.0,Balanced NPK 10-10-10
43.7,82.7,48.1,Red,Orange,118.1,131.7,191.2,No Fertilizer Needed
16.1,83.8,36.6,Sandy,Chickpea,137.4,76.9,90.5,No Fertilizer Needed
25.0,74.0,81.2,Red,Coconut,42.0,53.6,101.5,Balanced NPK 10-10-10
33.5,96.6,73.7,Loamy,Maize,140.8,15.6,178.3,SSP (Single Super Phosphate)
42.9,74.8,82.0,Black,Coffee,52.9,126.1,205.9,No Fertilizer Needed
12.1,97.1,55.6,Clayey,Rice,22.0,54.2,15.5,MOP (Muriate of Potash)
43.0,33.8,28.5,Clayey,Chickpea,41.7,55.5,12.3,MOP (Muriate of Potash)
14.1,66.2,88.6,Black,Sugarcane,102.4,9.9,136.3,SSP (Single Super Phosphate)
28.7,77.0,83.2,Loamy,Coconut,117.3,51.5,86.7,No Fertilizer Needed
14.0,71.4,73.4,Black,Banana,147.5,132.9,173.0,No Fertilizer Needed
18.6,78.7,44.7,Black,Rice,121.6,9.2,148.2,SSP (Single Super Phosphate)
36.0,81.2,40.5,Red,Chickpea,36.1,53.2,23.4,MOP (Muriate of Potash)
30.5,60.4,57.5,Sandy,Mango,86.3,127.6,165.9,No Fertilizer Needed
13.2,85.0,83.9,Sandy,Papaya,145.0,137.2,19.0,MOP (Muriate of Potash)
34.6,44.3,49.8,Loamy,Mungbean,136.4,122.5,213.9,No Fertilizer Needed
35.9,27.7,73.1,Sandy,Apple,49.0,124.6,37.0,Balanced NPK 10-10-10
39.6,35.6,44.0,Clayey,Banana,9.9,27.9,101.9,DAP (Diammonium Phosphate)
38.7,92.0,19.6,Black,Coconut,69.8,130.6,0.6,MOP (Muriate of Potash)
38.7,36.5,32.4,Loamy,Mango,81.1,2.5,25.7,SSP (Single Super Phosphate)
37.9,43.4,80.5,Sandy,Papaya,68.1,24.5,35.9,SSP (Single Super Phosphate)
20.5,30.9,48.8,Sandy,Mothbeans,19.9,80.0,187.2,Urea
27.9,53.1,82.9,Sandy,Maize,122.8,77.5,62.6,No Fertilizer Needed
14.4,44.1,34.1,Black,Coffee,11.8,45.1,16.3,MOP (Muriate of Potash)
16.0,85.2,79.0,Sandy,Mungbean,26.7,120.4,130.4,Urea
18.3,67.6,47.9,Sandy,Chickpea,72.4,100.0,119.0,No Fertilizer Needed
43.1,66.6,86.5,Loamy,Cotton,44.8,129.8,9.0,MOP (Muriate of Potash)
32.9,75.6,31.3,Loamy,Cotton,20.6,124.3,75.6,Urea
36.6,63.4,50.5,Red,Rice,45.1,64.1,51.6,Balanced NPK 10-10-10
34.5,99.2,69.1,Clayey,Rice,101.5,102.0,142.7,No Fertilizer Needed
37.9,32.7,68.6,Black,Mango,27.2,56.8,214.0,Urea
35.8,86.1,18.2,Clayey,Mungbean,53.9,98.9,114.1,No Fertilizer Needed
13.2,97.8,63.7,Sandy,Mango,74.6,96.4,160.2,No Fertilizer Needed
40.9,25.5,78.4,Black,Papaya,118.5,1.7,218.1,SSP (Single Super Phosphate)
17.9,85.2,81.3,Black,Banana,74.7,64.4,165.3,Balanced NPK 10-10-10
36.5,90.3,62.7,Loamy,Jute,85.6,136.7,8.6,MOP (Muriate of Potash)
34.3,39.3,48.3,Black,Blackgram,107.6,71.6,9.7,MOP (Muriate of Potash)
29.9,42.5,47.4,Loamy,Lentil,56.8,114.2,92.0,No Fertilizer Needed
38.2,53.3,17.7,Black,Jute,0.1,142.7,24.3,MOP (Muriate of Potash)
42.2,23.2,34.6,Loamy,Sugarcane,74.8,86.6,0.8,MOP (Muriate of Potash)
25.7,33.3,71.4,Sandy,Mango,60.6,3.2,139.9,SSP (Single Super Phosphate)
